"","Target","Indice","wtmr","LLCI","ULCI"
"1","Celebrity","ACC",0.140791768887835,-0.157503982061606,0.452627122136701
"2","Celebrity","d'",0.206314359475219,-0.0816253169034567,0.503929783092486
"3","Celebrity","RT",0.158483711778046,-0.128435668504121,0.464328299792829
"4","Celebrity","v(hausekeep)",0.0266017854803231,-0.282108694287886,0.358408924918431
"5","Celebrity","v(RWiener)",0.174321575829481,-0.165722953587208,0.481966155335344
"6","Celebrity","z(hausekeep)",-0.117994505731683,-0.39849795864245,0.214058358542668
"7","Celebrity","z(RWiener)",0.149924940627651,-0.208806587494695,0.490988758826043
"8","Celebrity","η",0.308457107071451,0.0209157463586393,0.596034490912658
"9","Close","ACC",0.479665686588148,0.2838486616089,0.653820827873544
"10","Close","d'",0.338996753804202,0.145266227560827,0.526690058031309
"11","Close","RT",0.547769052235697,0.375756455859212,0.703894511670762
"12","Close","v(hausekeep)",0.460594184842692,0.272802542146983,0.628250836560347
"13","Close","v(RWiener)",0.286672477686312,0.0141969749928087,0.526762188444273
"14","Close","z(hausekeep)",0.124163755555466,-0.0924232557311338,0.346044401551877
"15","Close","z(RWiener)",0.0999021125044087,-0.165258747033872,0.359942729103834
"16","Close","η",0.563927125047952,0.329746637429211,0.740250941914105
"17","NonPerson","ACC",0.539989894333726,0.297355538822469,0.743270728554598
"18","NonPerson","d'",0.171101173170029,-0.118480433489018,0.464407062908715
"19","NonPerson","RT",0.480512612428085,0.236710505179976,0.699689906516835
"20","NonPerson","v(hausekeep)",0.457011335149443,0.209625767295786,0.676327453508272
"21","NonPerson","v(RWiener)",0.399153898496704,0.069060924636184,0.659765298283448
"22","NonPerson","z(hausekeep)",0.0183640044418396,-0.280114463124703,0.340866312530143
"23","NonPerson","z(RWiener)",0.151935135960932,-0.224839310781093,0.507551683177252
"24","NonPerson","η",0.621129770813709,0.37706411690604,0.796342272538606
"25","Stranger","ACC",0.481342729925063,0.336431573084818,0.612041620342608
"26","Stranger","d'",0.330554382736709,0.177572291121431,0.480208377102498
"27","Stranger","RT",0.494288214807564,0.351889975079657,0.617197823726192
"28","Stranger","v(hausekeep)",0.445461868843239,0.300773261748756,0.577160409367165
"29","Stranger","v(RWiener)",0.234978715706473,0.0208012559573607,0.429970921043025
"30","Stranger","z(hausekeep)",0.158265324746731,-0.00941571050121634,0.329361189850682
"31","Stranger","z(RWiener)",0.123482707999641,-0.0795046861540394,0.320125817905929
"32","Stranger","η",0.539921901232763,0.320270939405331,0.697879202157065
