type,ICC_type,ICC,LLCI,ULCI,Target,Paper_ID
ICC2,RT,0.150395139,-0.025902949,0.395451714,Celebrity,P51E1
ICC2,ACC,0.003555927,-0.12841978,0.219003325,Celebrity,P51E1
ICC2,d Prime,-0.017959741,-0.141062223,0.188490298,Celebrity,P51E1
ICC2,Efficiency,0.069956086,-0.081139871,0.300595142,Celebrity,P51E1
ICC2,ezDDM v,0.030915778,-0.111273514,0.255600034,Celebrity,P51E1
ICC2,ezDDM z,-0.014126194,-0.144001891,0.200059648,Celebrity,P51E1
ICC2,rwDDM v,0.020327482,-0.117674165,0.241304626,Celebrity,P51E1
ICC2,rwDDM z,0.065216605,-0.08512172,0.295508544,Celebrity,P51E1
ICC2k,RT,0.41454424,-0.112341743,0.723490354,Celebrity,P51E1
ICC2k,ACC,0.014073574,-0.835602963,0.528671109,Celebrity,P51E1
ICC2k,d Prime,-0.075930012,-0.978217501,0.481619425,Celebrity,P51E1
ICC2k,Efficiency,0.23128497,-0.428982154,0.632237765,Celebrity,P51E1
ICC2k,ezDDM v,0.11316716,-0.668129358,0.578673352,Celebrity,P51E1
ICC2k,ezDDM z,-0.059005338,-1.014107949,0.500093189,Celebrity,P51E1
ICC2k,rwDDM v,0.07663645,-0.727531727,0.559899491,Celebrity,P51E1
ICC2k,rwDDM z,0.218179617,-0.457253488,0.626566719,Celebrity,P51E1
