Indice,cov,ICC2,Target,Type
RT,1,0.543942511,Friend,ICC2
ACC,1,0.269098771,Friend,ICC2
d Prime,1,0.107102303,Friend,ICC2
Efficiency,1,0.535136184,Friend,ICC2
ezDDM v,1,0.172996494,Friend,ICC2
ezDDM z,1,0.096909256,Friend,ICC2
rwDDM v,1,0.054163212,Friend,ICC2
rwDDM z,1,0.165900197,Friend,ICC2
RT,1,0.585244534,Stranger,ICC2
ACC,1,0.079131712,Stranger,ICC2
d Prime,1,0.177968966,Stranger,ICC2
Efficiency,1,0.337964002,Stranger,ICC2
ezDDM v,1,0.179935588,Stranger,ICC2
ezDDM z,1,0,Stranger,ICC2
rwDDM v,1,0.094445328,Stranger,ICC2
rwDDM z,1,0.044088814,Stranger,ICC2
RT,0,0.534713245,Friend,ICC2
ACC,0,0.25966963,Friend,ICC2
d Prime,0,0.097938269,Friend,ICC2
Efficiency,0,0.525203586,Friend,ICC2
ezDDM v,0,0.165428664,Friend,ICC2
ezDDM z,0,0.092406062,Friend,ICC2
rwDDM v,0,0.052902343,Friend,ICC2
rwDDM z,0,0.093103101,Friend,ICC2
RT,0,0.587727369,Stranger,ICC2
ACC,0,0.081363064,Stranger,ICC2
d Prime,0,0.175047108,Stranger,ICC2
Efficiency,0,0.347360437,Stranger,ICC2
ezDDM v,0,0.177862216,Stranger,ICC2
ezDDM z,0,-0.039709254,Stranger,ICC2
rwDDM v,0,0.088735224,Stranger,ICC2
rwDDM z,0,0.116092269,Stranger,ICC2
