"type","ICC_type","ICC","LLCI","ULCI","Target"
"ICC2","RT",0.534713245329927,0.388520668974712,0.689187045474919,"Friend"
"ICC2","ACC",0.259669630155607,0.12879256705654,0.435835877273192,"Friend"
"ICC2","d prime",0.0979382685835818,0.000267574250556743,0.250196386105621,"Friend"
"ICC2","Efficiency",0.525203585515418,0.378247821445675,0.681618130482348,"Friend"
"ICC2","ezDDM v",0.165428663624799,0.0520436566652156,0.33160543910722,"Friend"
"ICC2","ezDDM z",0.0924060618951277,-0.00175740511975962,0.240773986778372,"Friend"
"ICC2","rwDDM v",0.0529023426146011,-0.0306896194865458,0.189541674065232,"Friend"
"ICC2","rwDDM z",0.0931031012876298,-0.00253057635858483,0.243176225878058,"Friend"
"ICC2k","RT",0.873341944594688,0.792197840021295,0.930090534695302,"Friend"
"ICC2k","ACC",0.677885889657849,0.470056491396507,0.822544105203296,"Friend"
"ICC2k","d prime",0.394464003765022,0.00160330049370036,0.666899319036974,"Friend"
"ICC2k","Efficiency",0.869058448146769,0.784953040722268,0.927773293558865,"Friend"
"ICC2k","ezDDM v",0.543237069529888,0.24778401021698,0.748537350552589,"Friend"
"ICC2k","ezDDM z",0.379223582286482,-0.0106379062732988,0.655503257453631,"Friend"
"ICC2k","rwDDM v",0.251017094113134,-0.217514976176717,0.583891336977183,"Friend"
"ICC2k","rwDDM z",0.381175501229236,-0.0153780346055809,0.658454704955141,"Friend"
