"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.818640304929249,"Stranger","Pn23E1"
"RT","Odd-Even",0.863642376888928,"Stranger","Pn23E1"
"RT","Permuted",0.855759202780528,"Stranger","Pn23E1"
"ACC","First-Second",0.725190852087052,"Stranger","Pn23E1"
"ACC","Odd-Even",0.753190194119334,"Stranger","Pn23E1"
"ACC","Permuted",0.7227837210675,"Stranger","Pn23E1"
"Dprime","First-Second",0.496647849494612,"Stranger","Pn23E1"
"Dprime","Odd-Even",0.593637788464056,"Stranger","Pn23E1"
"Dprime","Permuted",0.48379656241456,"Stranger","Pn23E1"
"Efficiency","First-Second",0.177554119281517,"Stranger","Pn23E1"
"Efficiency","Odd-Even",0.249206225180055,"Stranger","Pn23E1"
"Efficiency","Permuted",0.244105685552243,"Stranger","Pn23E1"
"ezDDM: v","First-Second",0.72383669489521,"Stranger","Pn23E1"
"ezDDM: v","Odd-Even",0.711863129079539,"Stranger","Pn23E1"
"ezDDM: v","Permuted",0.711410969456075,"Stranger","Pn23E1"
"ezDDM: z","First-Second",0.162585673092001,"Stranger","Pn23E1"
"ezDDM: z","Odd-Even",0.395244297656439,"Stranger","Pn23E1"
"ezDDM: z","Permuted",0.321227944797228,"Stranger","Pn23E1"
